fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Oct,04,ASSAM,0404,GOALPARA,1233372,248.837846426026,27,42,145.54968984,14445,0,14087,931512,23375,7101,206395,48572,0,2463.50408984,33528,47096,112066,227463,26,220870,397697,28532,2317.9544,486492,93,64.6,2.68,100.02,NA
2024-2025,Oct,04,ASSAM,0407,KAMRUP,2190238,252.26351248117,32,51,187.604050734,9127,0,23930,1583906,121359,22254,192068,42538,0,4183.220960734,49302,66499,165358,323955,164,362061,654549,33057,3995.61691,837823,92,32.29,27.51,99.96,NA
2024-2025,Oct,04,ASSAM,0419,KARBI ANGLONG,1108513,249.055800222294,35,27,153.810204492999,7354,1,13579,1336966,39358,9271,1093093,126600,0,3483.601574493,38026,45593,91979,170170,54,154723,264611,20933,3329.79137,861237,79,49.32,36.32,100.09,NA
2024-2025,Oct,04,ASSAM,0425,CHIRANG,1518528,250.453031904003,32,22,801.88092277,15037,0,19317,669101,42478,10371,377906,76003,0,2477.66466377,20852,28783,78381,162795,10,130143,258692,34354,1675.783741,383537,93,16.48,1.51,99.98,NA
2024-2025,Oct,04,ASSAM,0433,BAJALI,374082,248.452886908268,26,27,135.762127146,6542,0,3314,246163,6069,2209,4591,2109,0,747.361207146,9138,13233,40849,85745,4,65495,124808,9856,611.59908,128734,92,29.23,0.52,99.65,NA
2024-2025,Oct,04,ASSAM,0402,KOKRAJHAR,2332582,247.002360644117,33,118,791.682225665,18274,0,27325,2262696,31984,5915,1019736,125627,0,6380.594759865,67555,97442,151633,322766,151,260728,535548,45599,5588.9125342,1256199,92,57.77,5.21,100.56,NA
2024-2025,Oct,04,ASSAM,0403,BONGAIGAON,563137,262.252934076251,22,11,382.888245371,9193,0,14734,328076,32297,10733,3686,2231,0,1243.277181371,14567,20540,84268,176367,5,157448,316145,23927,860.388936,159104,93,30.67,3.47,99.91,NA
2024-2025,Oct,04,ASSAM,0404,GOALPARA,1233372,248.492320555627,27,42,136.39888054,14403,0,13944,897005,22776,7153,197510,48959,0,2365.38742054,32928,46182,112401,228404,19,221256,398776,28347,2228.98854,468006,93,64.45,2.64,100.03,NA
2024-2025,Oct,04,ASSAM,0406,NALBARI,1402051,249.504596992485,23,27,319.936186648,14561,0,13762,872614,34167,7165,22507,4369,0,2497.148230648,37701,52528,115376,202432,37,177185,291809,28323,2177.212044,458020,89,37.71,15.37,99.94,NA
2024-2025,Oct,04,ASSAM,0414,GOLAGHAT,2271562,247.33230210471,25,69,685.346614887001,15187,0,16193,848858,60756,14560,157127,33470,0,2784.846647887,32977,44275,135297,258967,141,220425,397758,31380,2099.500033,454618,93,20.2,21.11,99.95,NA
2024-2025,Oct,04,ASSAM,0418,TINSUKIA,1752258,257.173091355924,20,21,120.446703327,5348,0,8822,528975,10250,2757,56083,16562,0,1480.828063327,25263,30729,105482,169273,12,201950,286618,14170,1360.38136,316537,80,58.26,5.33,100.09,NA
2024-2025,Oct,04,ASSAM,0422,HAILAKANDI,1839547,257.74714077723,27,80,427.428153772,7040,0,15149,1653229,106419,15523,11713,2450,0,4688.578631772,60089,80630,122105,214311,14,170282,273857,22189,4261.150478,641976,87,65.43,4.35,99.93,NA
2024-2025,Oct,04,ASSAM,0423,CACHAR,1930906,250.229512858824,27,30,36.05828316,15853,0,39390,692715,76099,14299,11140,3369,0,1769.43565316,25400,27184,159370,206388,1,368163,450846,55243,1733.37737,298647,94,15.17,3.48,101.89,NA
2024-2025,Oct,04,ASSAM,0433,BAJALI,374082,248.218979985502,26,27,135.762127146,6514,0,3283,244173,5988,2214,4525,2117,0,741.845857146,9086,13159,40942,86170,4,65856,125704,9797,606.08373,127809,92,29.45,0.53,99.66,NA
2024-2025,Oct,04,ASSAM,0434,WEST KARBI ANGLONG,415206,253.738707381222,26,6,6.8390105,670,0,6682,165772,945,1425,148789,39589,0,427.4667405,6299,7824,27772,53914,13,64251,114887,7352,420.62773,109226,93,66.8,4.11,99.17,NA
2024-2025,Oct,04,ASSAM,0401,DHUBRI,1372141,249.881471129942,23,64,602.944369376,10612,0,17356,1288411,13156,2868,1277,322,0,3822.444730376,54585,76004,203273,378270,25,382816,663750,27968,3219.500361,639699,83,24.32,25.58,100.26,NA
2024-2025,Oct,04,ASSAM,0407,KAMRUP,2190238,252.242968747534,32,51,187.604050734,9127,0,23929,1584035,121331,22266,192063,42538,0,4183.220960734,49348,66564,165380,324010,164,362053,654553,33056,3995.61691,837961,92,32.28,27.47,99.96,NA
2024-2025,Oct,04,ASSAM,0413,NAGAON,2439385,250.652801657765,26,217,592.286877516,16743,0,19567,2165807,132639,18392,65730,11816,0,6020.942801516,82601,112437,218974,358221,170,382462,563449,36310,5428.655924,1135797,89,30.72,20.02,99.91,NA
2024-2025,Oct,04,ASSAM,0422,HAILAKANDI,1839547,257.729350452424,28,80,427.428153772,7197,0,15020,1735762,109830,15536,12350,2450,0,4900.996281772,61425,82554,122282,214686,15,170361,274089,22217,4473.568128,674714,87,64.84,4.43,99.93,NA
2024-2025,Oct,04,ASSAM,0433,BAJALI,374082,248.452886908268,26,27,135.762127146,6537,0,3319,246163,6069,2209,4591,2108,0,747.361207146,9138,13233,40859,85799,4,65641,125070,9856,611.59908,128734,92,29.23,0.52,99.65,NA
2024-2025,Oct,04,ASSAM,0404,GOALPARA,1233372,248.464732344832,27,42,145.54968984,14482,0,14099,937176,23457,7077,206746,48538,0,2474.10152984,33581,47200,111895,226714,27,220715,396977,28581,2328.55184,489045,93,64.55,2.71,100.02,NA
2024-2025,Oct,04,ASSAM,0413,NAGAON,2439385,250.254980607614,26,217,592.286877516,16841,0,19581,2199059,134771,18410,66005,11764,0,6095.541551516,83308,113607,219192,358476,173,382586,563563,36422,5503.254674,1153178,89,30.59,20.14,99.91,NA
2024-2025,Oct,04,ASSAM,0414,GOLAGHAT,2271562,248.87257090767,25,72,685.346614887001,15491,0,17667,892957,62620,14531,164028,33478,0,2907.671657887,35132,47405,135464,257434,148,219770,394470,33158,2222.325043,477481,93,19.93,20.62,99.95,NA
2024-2025,Oct,04,ASSAM,0416,SIVASAGAR,1888355,250.68803142955,25,95,194.497049831,4626,0,9046,878409,49080,8541,131633,14097,0,2396.563279831,35105,48891,83818,163205,90,126031,224834,13672,2202.06623,478812,80,47.24,18.09,99.87,NA
2024-2025,Oct,04,ASSAM,0420,Dima Hasao,341755,243.386724935806,27,7,68.148079141,854,0,4136,139811,2637,572,126706,40490,0,408.429493141,5157,6509,20593,44118,5,35076,71385,4990,340.281414,59563,81,62.23,5.15,100.43,NA
2024-2025,Oct,04,ASSAM,0421,KARIMGANJ,2363047,247.383786980649,23,29,463.741053135999,16227,0,26990,962091,146451,23214,12472,1757,0,2843.798203136,41353,48461,136099,182019,135,224838,281845,43217,2380.05715,443480,96,59.44,4.31,99.9,NA
2024-2025,Oct,04,ASSAM,0427,UDALGURI,2763459,250.395152216678,34,44,769.92748925,21443,0,31019,2000832,85810,12063,923259,111321,0,5779.91382125,58078,77113,143844,274454,132,235114,415798,52462,5009.986332,1202252,94,35.06,11.74,99.98,NA
2024-2025,Oct,04,ASSAM,0428,Biswanath,2522034,249.055056134536,31,184,551.922513712,6303,0,19812,1415706,113622,14185,258162,35305,0,4077.809886712,44811,62308,103245,175443,89,150258,234354,26115,3525.887373,801336,89,43.34,12.85,100.01,NA
2024-2025,Oct,04,ASSAM,0432,MAJULI,535047,249.104632380698,28,19,36.568519,2663,0,7292,389411,47560,5580,178847,23077,0,1006.609359,13831,20504,29097,48109,33,34948,55367,9955,970.04084,185120,94,25.87,9.59,99.93,NA
2024-2025,Oct,04,ASSAM,0435,TAMULPUR,1196479,243.866881934161,23,7,296.68026506,5550,0,23020,505108,61530,16958,238140,52582,0,1528.47139506,21049,28101,63252,129530,1,123741,219421,28570,1231.79113,297503,94,34.63,2.2,100.69,NA
2024-2025,Oct,04,ASSAM,0406,NALBARI,1402051,250.359817731191,23,27,319.936186648,14716,0,13689,904598,34909,7174,23047,4367,0,2584.686090648,38946,53958,115593,202648,43,177209,291849,28405,2264.749904,474690,89,37.61,15.62,99.92,NA
2024-2025,Oct,04,ASSAM,0414,GOLAGHAT,2271562,247.321638297202,25,72,685.346614887001,15483,0,17642,888984,62465,14575,163438,33660,0,2883.996407887,35063,47288,135697,258504,148,220095,395682,33125,2198.649793,475550,93,20,20.7,99.94,NA
2024-2025,Oct,04,ASSAM,0415,JORHAT,1936740,251.422862195441,23,34,110.439841453,4269,0,6345,763400,52361,8058,91687,10521,0,2029.801971453,32995,37242,86677,131802,100,169553,236876,10614,1919.36213,484294,79,57.61,11.23,100.03,NA
2024-2025,Oct,04,ASSAM,0420,Dima Hasao,341755,247.30154294244,26,7,68.148079141,854,0,4117,137335,2637,572,124448,40489,0,407.779653141,5109,6436,20594,44119,5,35076,71383,4971,339.631574,58371,81,62.17,5.22,100.45,NA
2024-2025,Oct,04,ASSAM,0421,KARIMGANJ,2363047,247.900333014936,23,29,463.741053135999,16215,0,26960,960017,145629,23211,12428,1757,0,2843.626393136,41328,48447,136223,182176,135,224987,282028,43175,2379.88534,442732,96,59.5,4.32,99.91,NA
2024-2025,Oct,04,ASSAM,0432,MAJULI,535047,246.243343587292,27,19,36.568519,2626,0,7318,384892,47112,5580,177296,23073,0,984.339449,13754,20385,29087,48095,32,34937,55353,9944,947.77093,183064,94,26.14,9.69,99.93,NA
2024-2025,Oct,04,ASSAM,0401,DHUBRI,1372141,252.205829195503,23,65,602.944369376,10890,0,17279,1326581,13551,2884,1326,325,0,3948.658980376,55520,77421,203304,378499,26,382681,663643,28169,3345.714611,658074,83,24.57,25.2,100.24,NA
2024-2025,Oct,04,ASSAM,0405,BARPETA,1013174,250.223098439651,25,401,403.439681906,13177,0,8849,871600,52635,8521,8613,2346,0,2584.384207906,33629,47450,169234,286201,44,262705,427666,22026,2180.944526,410434,89,39.93,0.5,100.01,NA
2024-2025,Oct,04,ASSAM,0409,SONITPUR,2366932,247.594222679765,25,43,476.722264956999,8202,0,17051,1286098,35498,6350,61713,9965,0,3661.026610957,51190,57599,135915,181510,27,246059,309001,25253,3184.304346,768282,91,49.18,15.83,100.14,NA
2024-2025,Oct,04,ASSAM,0410,LAKHIMPUR,2367740,249.781965403488,25,44,453.273847167,9844,0,28752,1017328,63058,17247,319212,83747,0,2994.375720167,39357,59787,146784,330108,67,239164,486541,38596,2541.101873,539817,92,47.61,4.99,99.89,NA
2024-2025,Oct,04,ASSAM,0423,CACHAR,1930906,253.14738949931,27,33,36.05828316,16194,0,39287,736104,80863,14285,12437,3388,0,1899.48634316,26504,28404,159097,206060,1,367573,450089,55481,1863.42806,316834,94,16.01,3.69,101.74,NA
2024-2025,Oct,04,ASSAM,0427,UDALGURI,2763459,250.029589203406,34,44,769.92748925,21469,0,31032,2005299,85895,12064,925557,111326,0,5783.76834125,58147,77221,143851,274466,133,235123,415811,52501,5013.840852,1204592,94,35.07,11.72,99.98,NA
2024-2025,Oct,04,ASSAM,0430,CHARAIDEO,718510,250.969314470329,22,31,146.124024475,1155,0,1867,226263,2205,1195,4527,1909,0,713.974724475,10078,12353,41985,70486,54,83622,128461,3022,567.8507,127576,62,72.74,6.75,99.99,NA
2024-2025,Oct,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,571370,242.348093197371,21,28,597.143105278999,3588,0,28590,451987,8554,1001,1376,699,0,1692.524981279,21388,23970,77544,100177,0,139489,170947,32178,1095.381876,211968,97,10.96,0.41,99.19,NA
2024-2025,Oct,04,ASSAM,0401,DHUBRI,1372141,252.445292190759,23,65,602.944369376,10726,0,17340,1305671,13383,2873,1287,322,0,3899.049340376,55061,76707,203165,378210,26,382625,663532,28066,3296.104971,647568,83,24.12,25.4,100.24,NA
2024-2025,Oct,04,ASSAM,0409,SONITPUR,2366932,247.899549168646,24,43,476.722264956999,8059,0,17010,1263000,35019,6371,61086,9971,0,3607.693570957,50854,57239,136040,181749,23,246265,309304,25069,3130.971306,754869,91,49.02,15.87,100.14,NA
2024-2025,Oct,04,ASSAM,0411,DHEMAJI,2652434,248.490873840905,33,170,957.24135687,21532,0,29053,2280335,119885,15298,1190347,133957,0,6623.66572487,68921,105158,128295,296534,250,196351,415869,50585,5666.424368,1348331,92,54.59,1.15,100.02,NA
2024-2025,Oct,04,ASSAM,0412,Morigaon,1772076,256.505495603905,25,42,140.406398852,21717,0,19172,1030460,124379,28722,145603,33596,0,2783.592928852,39946,56599,146047,263911,15,232189,383875,40889,2643.18653,536134,94,32.51,24.64,99.84,NA
2024-2025,Oct,04,ASSAM,0417,DIBRUGARH,2127425,251.535295832706,20,66,524.158268491001,6120,0,7908,843737,39865,7745,91480,25696,0,2646.454627491,41491,52939,129547,230748,143,207020,333395,14028,2122.296359,513134,77,58.07,6.87,99.89,NA
2024-2025,Oct,04,ASSAM,0428,Biswanath,2522034,249.307486986038,31,184,551.922513712,6257,0,19825,1402340,112841,14190,257402,35621,0,4048.061126712,44626,62016,103517,175972,89,151128,235498,26082,3496.138613,793709,89,43.25,12.87,100.03,NA
2024-2025,Oct,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,571370,246.38780355388,20,27,597.143105278999,3486,0,28594,436537,7627,997,1376,699,0,1672.717031279,21016,23557,77328,99869,0,139461,170886,32080,1075.573926,205205,97,10.59,0.43,99.18,NA
2024-2025,Oct,04,ASSAM,0433,BAJALI,374082,247.992547229067,27,29,135.762127146,6558,0,3311,248364,6129,2206,4611,2109,0,751.686337146,9176,13304,40856,85731,4,65439,124671,9869,615.92421,129884,92,28.99,0.52,99.65,NA
2024-2025,Oct,04,ASSAM,0401,DHUBRI,1372141,251.722234096523,23,66,602.944369376,10726,0,17281,1295047,13225,2871,1287,322,0,3862.865610376,54779,76295,203326,378367,26,382838,663776,28007,3259.921241,643049,83,24.24,25.54,100.26,NA
2024-2025,Oct,04,ASSAM,0402,KOKRAJHAR,2332582,248.016720998383,34,118,793.885576717,18360,0,27615,2359334,33386,5925,1064488,126051,0,6645.428400917,69126,99863,151865,323114,160,260676,535275,45975,5851.5428242,1309561,92,57.78,5.42,100.57,NA
2024-2025,Oct,04,ASSAM,0403,BONGAIGAON,563137,260.525873429428,22,12,382.888245371,9216,0,14741,337377,32933,10736,3946,2243,0,1261.842621371,14809,20893,84312,176453,6,157481,316202,23957,878.954376,163522,93,30.78,3.38,99.91,NA
2024-2025,Oct,04,ASSAM,0404,GOALPARA,1233372,248.828781871148,27,42,145.54968984,14445,0,14089,931642,23375,7093,206411,48564,0,2463.74312984,33558,47140,112051,227342,26,220856,397577,28534,2318.19344,486576,93,64.59,2.69,100.02,NA
2024-2025,Oct,04,ASSAM,0407,KAMRUP,2190238,252.381888824211,32,51,187.604050734,9142,0,23915,1583906,121359,22254,192068,42540,0,4185.095930734,49302,66499,165358,323948,164,362063,654547,33057,3997.49188,837823,92,32.29,27.51,99.96,NA
2024-2025,Oct,04,ASSAM,0411,DHEMAJI,2652434,248.994898021598,33,170,957.24135687,21511,0,28991,2272491,119766,15294,1184039,133935,0,6615.62800487,68819,104977,128274,296527,249,196196,415693,50502,5658.386648,1343951,92,54.76,1.15,100.03,NA
2024-2025,Oct,04,ASSAM,0414,GOLAGHAT,2271562,247.874499258859,25,70,685.346614887001,15396,0,17140,876351,61928,14605,160521,33520,0,2857.597267887,34509,46505,135522,258833,147,220166,396555,32536,2172.250653,468868,93,20.22,20.96,99.95,NA
2024-2025,Oct,04,ASSAM,0430,CHARAIDEO,718510,251.242832611449,22,31,142.796146475,1143,0,1825,221873,2205,1195,4465,1909,0,700.236156475,10009,12251,41955,70435,53,83619,128451,2968,557.44001,124946,61,73.63,6.8,99.98,NA
2024-2025,Oct,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,571370,245.790312056705,20,27,597.143105278999,3406,0,28673,434953,7627,997,1376,699,0,1666.215441279,20948,23487,77316,99839,0,139432,170839,32079,1069.072336,204891,97,9.98,0.43,99.17,NA
2024-2025,Oct,04,ASSAM,0402,KOKRAJHAR,2332582,247.041410036238,34,118,793.885576717,19206,0,27278,2448547,34960,5928,1116246,125729,0,6842.810610917,70980,102722,151291,320793,176,259554,531676,46484,6048.9250342,1359061,92,57.96,5.26,100.57,NA
2024-2025,Oct,04,ASSAM,0403,BONGAIGAON,563137,259.825166995245,22,12,382.888245371,9353,0,14631,344920,33694,10732,4022,2237,0,1279.077211371,15078,21265,84349,176533,6,157511,316284,23984,896.188966,167153,93,31.06,3.31,99.94,NA
2024-2025,Oct,04,ASSAM,0410,LAKHIMPUR,2367740,251.351035814313,25,44,453.273847167,9876,0,28766,1017219,62335,17181,319467,83343,0,3010.064340167,39338,59738,146077,326928,68,237789,482398,38642,2556.790493,539702,92,47.6,4.99,99.89,NA
2024-2025,Oct,04,ASSAM,0411,DHEMAJI,2652434,249.584458306425,33,170,957.24135687,21622,0,29393,2321137,121786,15300,1213540,133902,0,6750.43856487,69378,105970,128415,296424,289,196604,415867,51015,5793.197208,1372888,92,53.84,1.15,100.02,NA
2024-2025,Oct,04,ASSAM,0412,Morigaon,1772076,255.671623468175,26,42,140.406398852,22237,0,18827,1058949,125974,28593,151994,33627,0,2847.838498852,40388,57303,145748,263033,17,231655,382517,41064,2707.4321,551473,94,32.48,24.76,99.85,NA
2024-2025,Oct,04,ASSAM,0415,JORHAT,1936740,251.839479041272,23,34,110.439841453,4320,0,6432,771731,53182,8063,92488,10537,0,2053.963171453,33135,37422,86710,131852,101,169552,236882,10752,1943.52333,489337,79,57.11,11.12,100.03,NA
2024-2025,Oct,04,ASSAM,0428,Biswanath,2522034,248.561110433627,31,184,551.922513712,6448,0,19756,1426848,114812,14194,261296,35054,0,4098.511746712,44965,62567,103133,175222,89,150187,234122,26204,3546.589233,808309,89,43.28,12.73,100.01,NA
2024-2025,Oct,04,ASSAM,0402,KOKRAJHAR,2332582,245.97095005115,34,124,793.885576717,19512,0,27186,2508286,35722,5928,1155276,125776,0,6963.540480917,71955,104224,151320,320460,186,259100,530484,46698,6169.6549042,1391028,92,58.15,5.14,100.59,NA
2024-2025,Oct,04,ASSAM,0409,SONITPUR,2366932,248.362742338711,25,43,476.722264956999,8888,0,16503,1306797,36037,5986,62508,9426,0,3722.319130957,51429,57882,132469,175382,27,241494,301355,25391,3245.596866,781228,91,48.65,15.69,100.15,NA
2024-2025,Oct,04,ASSAM,0422,HAILAKANDI,1839547,260.324284384492,29,85,427.428153772,7443,0,14882,1845614,115546,15583,13379,2462,0,5232.009591772,62813,84686,122583,215615,17,170884,275354,22325,4804.581438,718455,87,64.66,4.19,99.95,NA
2024-2025,Oct,04,ASSAM,0434,WEST KARBI ANGLONG,415206,252.484530367797,26,6,6.8390105,715,0,6687,174988,1004,1449,156499,39740,0,448.6566405,6512,8078,27870,54109,15,64293,114978,7402,441.81763,115039,93,66.69,3.93,98.95,NA
2024-2025,Oct,04,ASSAM,0435,TAMULPUR,1196479,243.53220494578,24,7,296.68026506,5979,0,22822,522870,64223,16708,245837,52142,0,1570.03710506,21292,28507,63226,128099,1,123716,217702,28801,1273.35684,308618,94,34.53,2.14,100.73,NA
2024-2025,Oct,04,ASSAM,0411,DHEMAJI,2652434,247.348464945855,33,170,957.24135687,21640,0,29720,2344901,121923,15301,1233329,134020,0,6757.31798487,69601,106360,128487,296536,299,196634,415895,51360,5800.076628,1386989,92,53.33,1.14,100.02,NA
2024-2025,Oct,04,ASSAM,0415,JORHAT,1936740,252.008570210347,23,34,110.439841453,4339,0,6420,773960,53504,8063,92789,10541,0,2060.885371453,33151,37445,86718,131876,102,169598,236968,10759,1950.44553,490693,79,56.98,11.09,100.04,NA
2024-2025,Oct,04,ASSAM,0416,SIVASAGAR,1888355,250.427174660066,25,95,194.497049831,4801,0,8944,886127,49208,8541,132704,14127,0,2413.599859831,35232,49097,83845,163238,91,126050,224856,13745,2219.10281,483172,80,47.28,18.04,99.89,NA
2024-2025,Oct,04,ASSAM,0417,DIBRUGARH,2127425,251.984126867285,20,68,524.158268491001,6271,0,7888,855855,40420,7737,93252,25653,0,2680.777017491,41689,53228,129423,230392,159,206900,333028,14159,2156.618749,520047,77,57.76,6.8,99.89,NA
2024-2025,Oct,04,ASSAM,0421,KARIMGANJ,2363047,248.305455714229,23,30,463.741053135999,16792,0,26558,975381,147886,23173,12650,1751,0,2885.665290136,41634,48789,134923,180709,137,223565,280418,43350,2421.924237,448655,96,58.53,4.26,99.9,NA
2024-2025,Oct,04,ASSAM,0425,CHIRANG,1518528,251.344933521179,31,23,801.88092277,15464,0,19180,691348,43710,10334,389218,75806,0,2539.54909377,21605,29861,78296,162271,10,130090,258197,34644,1737.668171,396668,93,16.85,1.48,99.98,NA
2024-2025,Oct,04,ASSAM,0401,DHUBRI,1372141,251.857923446077,24,66,602.944369376,11298,0,17158,1355698,14008,2875,1326,310,0,4017.377200376,56154,78427,202460,374988,27,381507,659295,28456,3414.432831,671976,83,24.17,24.91,100.23,NA
2024-2025,Oct,04,ASSAM,0415,JORHAT,1936740,252.134855541837,23,34,110.439841453,4376,0,6392,775934,53683,8060,93149,10553,0,2066.839911453,33193,37496,86721,131880,102,169611,236998,10768,1956.40007,491920,79,56.97,11.06,100.04,NA
2024-2025,Oct,04,ASSAM,0417,DIBRUGARH,2127425,251.90138713554,20,68,524.158268491001,6479,0,7714,857090,40425,7733,93232,25631,0,2683.179867491,41711,53265,129345,230104,181,206821,332737,14193,2159.021599,520789,77,57.75,6.8,99.88,NA
2024-2025,Oct,04,ASSAM,0418,TINSUKIA,1752258,255.198716508639,21,24,126.346938475,5804,0,8846,605380,12485,2775,67259,16602,0,1671.268928475,27736,33770,105742,169681,20,201910,286680,14650,1544.92199,361690,80,57.06,5.08,100.05,NA
2024-2025,Oct,04,ASSAM,0419,KARBI ANGLONG,1108513,248.929947288444,35,27,153.810204492999,7425,1,14046,1353024,39527,9246,1106945,125969,0,3521.892134493,38424,46112,91832,169446,59,154064,263067,21471,3368.08193,871075,79,48.91,35.92,100.08,NA
2024-2025,Oct,04,ASSAM,0423,CACHAR,1930906,251.740722887768,28,33,36.05828316,17779,0,37860,761363,82671,14200,12676,3386,0,1952.71900316,27002,28945,157919,204364,1,365781,447662,55639,1916.66072,327532,94,15.71,3.91,101.68,NA
2024-2025,Oct,04,ASSAM,0428,Biswanath,2522034,248.848660454768,31,187,552.078117712,7259,0,18965,1434666,115518,14195,262511,35017,0,4122.225240712,45084,62759,103103,175202,90,150136,234088,26224,3570.147123,812882,89,43.24,12.75,100.07,NA
2024-2025,Oct,04,ASSAM,0430,CHARAIDEO,718510,251.189154626714,22,31,146.124024475,1169,0,1933,228337,2205,1195,4558,1910,0,719.681804475,10147,12438,42025,70567,54,83626,128475,3102,573.55778,128657,63,72.34,6.66,99.98,NA
2024-2025,Oct,04,ASSAM,0402,KOKRAJHAR,2332582,246.44521036434,34,124,793.885576717,19440,0,27234,2499069,35517,5921,1148577,125776,0,6952.721430917,71780,103973,151269,320466,185,259144,530653,46674,6158.8358542,1385822,92,58.17,5.15,100.59,NA
2024-2025,Oct,04,ASSAM,0403,BONGAIGAON,563137,259.003058594617,23,12,382.888245371,9890,0,14149,351534,34433,10728,4402,2236,0,1293.372057371,15234,21517,84292,176287,6,157453,316030,24039,910.483812,170338,93,30.65,3.31,99.93,NA
2024-2025,Oct,04,ASSAM,0407,KAMRUP,2190238,251.020637510685,32,53,188.052050734,9934,0,23581,1629557,124406,22185,201710,42506,0,4278.576420734,50155,67619,165201,322834,167,361829,653122,33515,4090.52437,861982,93,31.91,26.95,99.94,NA
2024-2025,Oct,04,ASSAM,0408,DARRANG,1221332,259.342152194862,29,60,410.705868088,6036,0,4259,1540985,38824,7550,5228,1123,0,4407.129532088,52833,80133,144023,279662,107,224180,397912,10295,3996.423664,769224,77,42.58,37.82,99.91,NA
2024-2025,Oct,04,ASSAM,0426,KAMRUP (METRO),400624,252.315811148493,35,0,34.556899644,2487,0,3076,143266,38709,7651,34282,9959,0,396.039669644,4073,4939,16136,33775,3,51347,95266,5563,361.48277,85624,93,21.3,1.22,101.5,NA
2024-2025,Oct,04,ASSAM,0403,BONGAIGAON,563137,260.846516057444,22,12,382.888245371,9319,0,14663,343361,33597,10732,4022,2237,0,1278.533451371,15046,21225,84345,176524,6,157508,316277,23982,895.645206,166506,93,30.98,3.32,99.92,NA
2024-2025,Oct,04,ASSAM,0419,KARBI ANGLONG,1108513,249.241515799728,35,27,153.810204492999,7422,1,13902,1346827,39504,9259,1101603,126131,0,3510.662234493,38275,45911,91851,169619,59,154252,263513,21324,3356.85203,867159,79,49.12,36.02,100.08,NA
2024-2025,Oct,04,ASSAM,0421,KARIMGANJ,2363047,246.610365488502,23,30,463.741053135999,16299,0,27012,970181,147025,23182,12576,1753,0,2856.307963136,41567,48710,135629,181476,137,224343,281276,43311,2392.56691,446518,96,59.08,4.33,99.91,NA
2024-2025,Oct,04,ASSAM,0424,BAKSA,1720116,248.698040926558,32,86,206.785017438,11177,0,29582,1565536,73522,7909,753703,77460,0,4100.242379438,47918,58254,99253,173352,26,170578,279125,40759,3893.457362,1015379,95,30.57,0.85,100.03,NA
2024-2025,Oct,04,ASSAM,0428,Biswanath,2522034,249.290539567662,31,184,551.922513712,6351,0,19794,1420971,113834,14185,260277,35092,0,4094.268786712,44880,62432,103153,175236,89,150102,234037,26145,3542.346273,804632,89,43.22,12.81,100.01,NA
2024-2025,Oct,04,ASSAM,0403,BONGAIGAON,563137,261.522807087229,23,12,382.888245371,10183,0,13875,352465,34515,10730,4402,2227,0,1304.664607371,15263,21562,84285,176178,6,157450,315933,24058,921.776362,170726,93,30.58,3.3,99.93,NA
2024-2025,Oct,04,ASSAM,0405,BARPETA,1013174,249.79442991405,26,404,416.517485106,13486,0,9060,911117,55849,8563,8993,2345,0,2692.437001106,34625,49032,167832,283630,46,261176,424887,22546,2275.919516,428237,89,39.47,0.58,100,NA
2024-2025,Oct,04,ASSAM,0413,NAGAON,2439385,250.567972942363,26,222,592.286877516,17198,0,19443,2251490,137517,18426,67095,11760,0,6233.799731516,83927,114630,219125,358504,191,382593,563760,36641,5641.512854,1181270,89,30.11,20.36,99.92,NA
2024-2025,Oct,04,ASSAM,0417,DIBRUGARH,2127425,251.238664792627,20,69,526.043265991001,6771,0,7469,872269,40562,7708,95895,25558,0,2717.520254991,42078,53753,129084,228904,208,206443,331366,14240,2191.476989,530084,77,57.95,6.71,99.9,NA
2024-2025,Oct,04,ASSAM,0424,BAKSA,1720116,248.404204449194,32,88,206.785017438,11967,0,29151,1598402,75013,7724,768470,77062,0,4177.282789438,48473,58982,98344,170011,35,168397,274061,41118,3970.497772,1035630,95,30.26,0.83,100.02,NA
2024-2025,Oct,04,ASSAM,0425,CHIRANG,1518528,252.152767361569,32,23,801.88092277,15701,0,19094,713098,43965,10340,405611,75784,0,2599.97726377,22262,30897,78317,162282,18,130093,258163,34795,1798.096341,409547,93,18.23,1.77,99.98,NA
